user_id,session_id,timestamp,gender,age_group,body_type,skin_tone,height,style_preference,budget_level,preferred_brand,clothing_type,fabric,primary_color,pattern,occasion,mood,season,weather,price_usd,satisfaction_score,trend_score,comfort_score,sustainability_score,quality_score,fit_score,views,likes,shares,saves,tryon_count,purchased,embedding_1,embedding_2,embedding_3,month,total_score,recommendation_priority,outfit_description
INZ_000000,c807fc10dcbc,2023-04-23,Non-binary,45-54,Apple,Light,"6'0""-6'2""",Minimalist,Premium,H&M,T-shirt,Velvet,Navy,Animal Print,Formal,Romantic,Summer,Cloudy,256.44,0.448,0.829,0.338,0.895,0.946,0.83,89,23,2,9,19,0,-0.2158,-0.5682,2.111,4,0.646,High,Minimalist T-shirt in Navy - Perfect for Formal
INZ_000001,1d95c3f54b1e,2023-06-23,Gender-fluid,45-54,Hourglass,Tan,"6'0""-6'2""",Romantic,Mid-range,Zara,Shorts,Wool,Gray,Plaid,Vacation,Playful,Fall,Snowy,36.35,0.963,0.401,0.484,0.045,0.937,0.785,104,25,2,17,7,0,-1.349,-0.2519,0.6696,6,0.72,High,Romantic Shorts in Gray - Perfect for Vacation
INZ_000002,51f132eee770,2023-11-22,Female,35-44,Athletic,Dark,"6'0""-6'2""",Bohemian,Mid-range,Versace,Top,Silk,White,Polka Dot,Brunch,Relaxed,Spring,Windy,482.37,0.829,0.814,0.988,0.684,0.442,0.746,98,19,1,11,8,0,-0.1628,0.1518,0.3025,11,0.76,High,Bohemian Top in White - Perfect for Brunch
INZ_000003,6b75503a364f,2023-01-24,Non-binary,18-24,Inverted Triangle,Dark,"5'6""-5'8""",Streetwear,Luxury,Balmain,Jeans,Velvet,Navy,Animal Print,Formal,Energetic,Winter,Cloudy,405.39,0.825,0.031,0.545,0.764,0.869,0.593,112,15,6,7,11,0,0.7484,-1.3508,0.8619,1,0.581,Medium,Streetwear Jeans in Navy - Perfect for Formal
INZ_000004,94ec485a2997,2023-06-07,Non-binary,25-34,Rectangle,Dark,"5'6""-5'8""",Edgy,Premium,H&M,Jeans,Linen,Beige,Plaid,Wedding,Confident,Summer,Cloudy,328.33,0.574,0.415,0.788,0.114,0.923,0.826,113,24,4,15,11,0,0.3239,-0.6195,1.8628,6,0.664,High,Edgy Jeans in Beige - Perfect for Wedding
INZ_000005,5e8f78a2ce7e,2023-08-18,Gender-fluid,18-24,Athletic,Tan,"5'3""-5'5""",Edgy,Budget,Balmain,Shorts,Linen,White,Plaid,Brunch,Bold,Spring,Windy,446.58,0.81,0.686,0.481,0.901,0.605,0.765,97,22,6,11,7,0,0.2464,1.1912,-0.7623,8,0.662,High,Edgy Shorts in White - Perfect for Brunch
INZ_000006,0fa7ce043684,2023-07-29,Female,25-34,Pear,Tan,"5'0""-5'2""",Bohemian,Mid-range,Adidas,T-shirt,Polyester,Brown,Polka Dot,Date Night,Artistic,Winter,Windy,463.44,0.643,0.809,0.404,0.704,0.935,0.538,96,14,4,11,11,0,0.0362,0.0458,-0.1611,7,0.71,High,Bohemian T-shirt in Brown - Perfect for Date Night
INZ_000007,a970406005d6,2023-04-24,Female,45-54,Pear,Medium,"5'3""-5'5""",Streetwear,Mid-range,Versace,Top,Wool,Yellow,Solid,Gym,Playful,Winter,Rainy,441.1,0.625,0.268,0.815,0.163,0.798,0.624,109,32,3,10,3,0,-0.9516,-0.1491,-0.4583,4,0.617,High,Streetwear Top in Yellow - Perfect for Gym
INZ_000008,1a692dc9b6cf,2023-10-21,Non-binary,18-24,Pear,Dark,"5'6""-5'8""",Classic,Premium,Adidas,Blouse,Linen,Gray,Striped,Formal,Bold,Summer,Windy,88.36,0.872,0.003,0.883,0.722,0.683,0.55,99,17,5,8,10,0,-1.9632,0.9927,-0.7684,10,0.61,High,Classic Blouse in Gray - Perfect for Formal
INZ_000009,48ac4788e415,2023-03-27,Male,45-54,Apple,Fair,"5'9""-5'11""",Edgy,Budget,Prada,Pants,Leather,Black,Striped,Interview,Relaxed,Fall,Sunny,369.84,0.543,0.474,0.979,0.784,0.404,0.924,91,28,7,15,7,1,0.3038,0.3463,2.1668,3,0.578,Medium,Edgy Pants in Black - Perfect for Interview
INZ_000010,cb5d6d64b0a0,2023-10-02,Non-binary,55+,Rectangle,Medium,"5'9""-5'11""",Bohemian,Luxury,Versace,Skirt,Wool,Yellow,Floral,Party,Artistic,Fall,Snowy,173.1,0.363,0.039,0.548,0.281,0.812,0.807,99,25,3,15,10,0,1.1356,0.4749,0.0373,10,0.431,Medium,Bohemian Skirt in Yellow - Perfect for Party
INZ_000011,d8b801941f36,2023-04-16,Non-binary,45-54,Pear,Dark,"5'3""-5'5""",Romantic,Mid-range,Zara,Pants,Polyester,Green,Geometric,Party,Confident,Fall,Cloudy,40.33,0.334,0.938,0.625,0.729,0.879,0.837,110,21,2,6,9,1,0.8538,-0.4079,0.4372,4,0.679,High,Romantic Pants in Green - Perfect for Party
INZ_000012,4125c5ad9252,2023-11-17,Non-binary,45-54,Pear,Tan,"5'6""-5'8""",Bohemian,Premium,Mango,Coat,Velvet,Navy,Animal Print,Interview,Bold,Spring,Rainy,153.86,0.892,0.204,0.729,0.602,0.977,0.857,110,13,5,14,9,0,-0.053,0.4835,-0.6836,11,0.709,High,Bohemian Coat in Navy - Perfect for Interview
INZ_000013,42a5726d521e,2023-02-26,Non-binary,25-34,Hourglass,Tan,"6'0""-6'2""",Romantic,Luxury,Zara,T-shirt,Linen,Black,Geometric,Formal,Romantic,Summer,Cloudy,334.22,0.859,0.677,0.868,0.697,0.77,0.874,97,23,8,15,9,0,0.1918,0.6747,0.5234,2,0.793,High,Romantic T-shirt in Black - Perfect for Formal
INZ_000014,3db10117e60f,2023-11-11,Gender-fluid,55+,Inverted Triangle,Tan,"5'6""-5'8""",Romantic,Premium,Prada,Dress,Cotton,Green,Floral,Business,Relaxed,Fall,Sunny,458.14,0.688,0.517,0.933,0.791,0.487,0.615,99,11,4,12,7,0,0.5279,-1.2757,-0.5213,11,0.644,High,Romantic Dress in Green - Perfect for Business
INZ_000015,89e06c95f4ef,2023-11-09,Female,45-54,Inverted Triangle,Dark,"5'3""-5'5""",Minimalist,Budget,Zara,Shorts,Silk,Blue,Plaid,Formal,Romantic,Summer,Cloudy,351.57,0.542,0.597,0.865,0.927,0.569,0.99,109,21,8,5,6,0,1.5123,-0.0052,-0.0988,11,0.627,High,Minimalist Shorts in Blue - Perfect for Formal
